"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kisbér","LEHEL COACHBUILDER 2000 Járműipari és Kereskedelmi Korlátolt Felelősségű Társaság","Új gyártási technológiák bevezetése exkluzív szállító-járműgyártáshoz Kisbéren",2015-12-21,60.71601,"város","Komárom-Esztergom","Kisbéri","5357","van","HH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kisbér","DRAT Ipari Termelő és Kereskedelmi Korlátolt Felelősségü Társaság","Huzaltermék gyártókapacitás bővítése a DRAT Kft-nél",2016-03-25,15.320388,"város","Komárom-Esztergom","Kisbéri","5357","van","HH",2016
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kisbér","Line of Least Resistance Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","A Line of Least Resistance Kft. gyakornoki projektje Kisbéren (2016-2017)",2017-01-05,13.90668,"város","Komárom-Esztergom","Kisbéri","5357","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kisbér","Magyar Vöröskereszt Komárom-Esztergom megyei Szervezete","„Generációk egymásért és a közösségért”",2017-02-08,24.9517,"város","Komárom-Esztergom","Kisbéri","5357","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiscsősz","Élő Forrás Hagyományőrző Egyesület","Somló-Ság Kulturális Tengely (BOZÓT)",2017-02-08,24.991569,"község","Veszprém","Devecseri","100","nincs","nem_hatranyos_helyzetu",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kisfüzes","EU-FIRE Ingatlanfejlesztő és Tanácsadó Korlátolt Felelősségű Társaság ","Eszközbeszerzés az EU-FIRE Kft-nél.",2016-06-02,16.25,"község","Heves","Pétervásárai","125","nincs","LHH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Kisgyőr","KISGYŐR KÖZSÉG ÖNKORMÁNYZATA","KISGYŐR KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6.997888,"község","Borsod-Abaúj-Zemplén","Miskolci","1677","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kishajmás","KERAKER Kereskedelmi, Ipari és Szolgáltató Korlátolt Felelősségű Társaság","A kishajmási keramikus agyag minőségi és mennyiségi fejlesztése, kerámia gyártás feltételeinek megteremtése munkahely teremtéssel.",2016-01-20,17.15,"község","Baranya","Hegyháti","190","nincs","LHHK",2016
"KEHOP-2.1.1-15","KEHOP","Felhívás az ivóvízminőség-javító projektek megvalósítása","Kisharsány","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Kisharsány-Sáripuszta településrész ivóvízhálózatának fejlesztése",2015-12-14,90.15401,"község","Baranya","Siklósi","487","nincs","HH",2015
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Kiskorpád","AGAPÉ Egyenlő esélyekért Egyesület","AGAPÉ Családokért Program",2016-12-22,34.9516,"község","Somogy","Kaposvári","895","van","LHHK",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunfélegyháza","""AWI-SZER"" Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Tartálygyártás technológiai korszerűsítése",2015-07-23,13.06941,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunfélegyháza","VÖRÖS Gyártó, Kereskedő és Szolgáltató Korlátolt Felelősségű Társaság","Termelési kapacitás bővítése a Vörös Kft.-nél",2015-07-23,30.2707,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunfélegyháza","TORUS Acéltermékgyártó Korlátolt Felelősségű Társaság","TORUS Acéltermékgyártó Kft. termelési kapacitásainak bővítése",2015-12-21,499.999996,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunfélegyháza","TORUS Acéltermékgyártó Korlátolt Felelősségű Társaság","Kapacitásbővítést eredményező beruházás a TORUS Acéltermékgyártó Kft.-nél",2016-01-19,50,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunfélegyháza","POZSÁR DESIGN MŰKOVÁCS Korlátolt Felelősségű Társaság","Kapacitás bővítő beruházás a POZSÁR DESIGN KFt.-nél",2016-01-22,5.1025,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunfélegyháza","VÖRÖS Gyártó, Kereskedő és Szolgáltató Korlátolt Felelősségű Társaság","Kapacitásbővítés a Vörös Kft-nél",2016-05-27,25.514871,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"KEHOP-5.2.10-16","KEHOP","Költségvetési szervek pályázatos épületenergetikai fejlesztései","Kiskunfélegyháza","BÁCS-KISKUN MEGYEI KÓRHÁZ A SZEGEDI TUDOMÁNYEGYETEM ÁLTALÁNOS ORVOSTUDOMÁNYI KAR OKTATÓ KÓRHÁZA","Energiahatékonysági fejlesztés a Bács-Kiskun Megyei Kórház Kalocsai és Kiskunfélegyházi nővér-/orvosszállóin",2016-09-30,145.149653,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"GINOP-1.3.1-15","GINOP","Mikro-, kis- és középvállalkozások piaci megjelenésének támogatása","Kiskunfélegyháza","""ILST-HUNGARY"" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Külföldi piacra jutás az ""ILST-HUNGARY"" Kft.-nél",2016-12-19,3.9575,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Kiskunfélegyháza","Nagycsaládosok Kiskunfélegyházi Egyesülete","A nagy család közös ügyünk",2016-12-22,39.99978,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunfélegyháza","MŰFLEX Müanyagipari Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a MŰFLEX Kft-nél",2017-01-03,17.86,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunfélegyháza","Mozgáskorlátozottak Kiskunfélegyházi Egyesülete","„Fogyatékkal élő emberek generációs hídjai""",2017-02-08,25,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunfélegyháza","SÜVEGES Autósiskola, Oktatási, Tanácsadói Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","25 év alatti, szakképesítést szerzett fiatal munkaerő-piaci integrációjának ösztönzése, gyakornoki foglalkoztatása, a SÜVEGES Kft.-nél",2017-02-09,4.521784,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunfélegyháza","ANTIBANDITA SECURITY Korlátolt Felelősségű Társaság","Gyakornoki programban való részvétel pályakezdő támogatására az ANTIBANDITA SECURITY Kft.-nél.",2017-02-16,7.65315,"város","Bács-Kiskun","Kiskunfélegyházi","29138","van","nem_hatranyos_helyzetu",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","HALASPACK Csomagolóanyag Betéti Társaság","A HALASPACK Bt. spirálcső gyártó kapacitásának bővítése",2015-05-04,100,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","URI és URI Műanyagfeldolgozó Betéti Társaság","Termelési kapacitás bővítés az Uri és Uri Bt-nél",2015-05-04,37.925754,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","GANZAIR Kompresszortechnika Korlátolt Felelősségű Társaság ","Kapacitásbővítés a Ganzair Kft-nél",2015-05-04,14.325992,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","SZ-N TRADE Műanyagfeldolgozó és Kereskedelmi Korlátolt Felelősségű Társaság","Az SZ-N TRADE KFT műanyagipari termelési kapacitásának bővítése új gépek beszerzése által",2015-05-15,19.04175,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","ROYAL II. Sütőipari Zártkörűen Működő Részvénytársaság","Gyártási kapacitás bővítése a Royal II. Zrt. részére",2015-06-24,99.9996,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","KOLIKEN MAGYAR-CSEH és SZLOVÁK Kereskedelmi Korlátolt Felelősségű Társaság","KOLIKEN KFT termelési kapacitásainak bővítése.",2015-12-21,110.7945,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunhalas","P.M.C. MŰANYAGIPARI Korlátolt Felelősségű Társaság","A P.M.C. Kft. kapacitás bővítése",2016-01-15,9.085516,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunhalas","URI és URI Műanyagfeldolgozó Betéti Társaság","Új eszközök beszerzése az Uri és Uri Bt-nél",2016-01-15,52.692886,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunhalas","SZ-N TRADE Műanyagfeldolgozó és Kereskedelmi Korlátolt Felelősségű Társaság","Az SZ-N Trade Kft. termelési kapacitásbővítő beruházása",2016-01-19,46.566423,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunhalas","""HÁsZ"" Építőipari Kivitelező és Tervező Korlátolt Felelősségű Társaság","A ""HÁsZ"" Kft. kapacitásbővítő beruházása",2016-01-21,14.160191,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunhalas","Doramina szab Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a Doramina szab Kft-nél",2016-03-24,9.549,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Kiskunhalas","POWER SZERVIZ Tervező, Kivitelező, Beruházó és Energetikai Szolgáltató Korlátolt Felelősségű Társaság","Mini kogenerációs erőművek gazdaságos kialakítása és értékesítése az Európai Unióban",2016-08-25,71.983848,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Kiskunhalas","Kiskun Kutatóközpont Kereskedelmi és Nemesítő Korlátolt Felelősségű Társaság","A KISKUN HIBRID KUKORICÁK HOZAMÁNAK NÖVELÉSÉT BIZTOSÍTÓ INNOVATÍV NEMESÍTÉSI TECHNOLÓGIÁK KIDOLGOZÁSA ÉS ALKALMAZÁSA",2016-08-25,340.135358,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Kiskunhalas","PANNON PUR Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Hidro-pneumatikus célgép kifejlesztése a Pannon Pur Kft.-nél",2016-08-25,64.403056,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Kiskunhalas","Regreen Field Korlátolt Felelősségű Társaság","INVAZÍV FÁSSZÁRÚ NÖVÉNYEK IRTÁSRA ALKALMAS GYOMIRTÓ SZERKOMBINÁCIÓ KIFEJLESZTÉSE",2016-08-25,129.138691,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"KEHOP-5.2.10-16","KEHOP","Költségvetési szervek pályázatos épületenergetikai fejlesztései","Kiskunhalas","KISKUNHALASI SZAKKÉPZÉSI CENTRUM","Energetikai korszerűsítés a Kiskunhalasi SzC Vári Szabó István Szakképző Iskolája és Kollégiumában",2016-09-30,74.098841,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"EFOP-4.1.1-15","EFOP","Egyes egyházi oktatási infrastrukturális fejlesztések","Kiskunhalas","Kiskunhalasi Református Egyházközség","Tanteremfejlesztés a Központi Általános Iskolában",2016-11-09,499,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"KEHOP-5.2.10-16","KEHOP","Költségvetési szervek pályázatos épületenergetikai fejlesztései","Kiskunhalas","KISKUNHALASI SEMMELWEIS  KÓRHÁZ","Kiskunhalasi Kórház energetikai fejlesztése",2016-11-17,109.333388,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"KEHOP-5.2.11-16","KEHOP","Fotovoltaikus rendszerek kialakítása központi költségvetési szervek részére","Kiskunhalas","KISKUNHALASI SEMMELWEIS  KÓRHÁZ","Kiskunhalasi Kórház fotovoltanikus rendszerének kialakítása",2016-12-19,105.966332,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Kiskunhalas","Civilek a Jövőért Alapítvány ","Fókuszban a család",2016-12-22,40,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunhalas","Városért Közalapítvány","Együtt a halasi kultúráért",2017-02-07,19.88528,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunhalas","DONGFERR Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Gyakornok foglalkoztatása a Dongferr Kft-nél.",2017-02-08,2.76088,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunhalas","Mozgáskorlátozottak Kiskunhalasi Egyesülete","EGYÜTT - EGYMÁSÉRT A MOZGÁSKORLÁTOZOTTAKKAL KISKUNHALASON ÉS KÖRNYÉKÉN",2017-02-08,25,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunhalas","Kiskunhalasi Zsidó Hitközség","Zsidó közösség társadalmi szerepvállalásának erősítése Kiskunhalason",2017-02-08,22.509709,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunhalas","ROYAL II. Sütőipari Zártkörűen Működő Részvénytársaság","Gyakornoki program a Royal II. Sütőipari Zrt-nél",2017-02-09,12.04879,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunhalas","Kreatív Projekt Gazdasági Tanácsadó Korlátolt Felelősségű Társaság","Kreatív gyakornok",2017-02-10,4.022456,"város","Bács-Kiskun","Kiskunhalasi","27470","van","HH",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskunmajsa","KK Forgácsolás Korlátolt Felelősségű Társaság","Kapacitás bővítése a kkForgácsolás Kft-nél",2015-06-24,21.763847,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunmajsa","KK Forgácsolás Korlátolt Felelősségű Társaság","Kapacitás bővítés a KK Forgácsolás Kft-nél ",2016-01-21,5.89054,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunmajsa","MANGALICA Kereskedelmi Korlátolt Felelősségű Társaság ","Élcsiszológép beszerzése a Mangalica Kft.-nél",2016-01-21,5.9,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunmajsa","Pigniczki Ferenc egyéni vállalkozó","Gyártó kapacitás bővítése Pigniczki Ferenc EV-nál. ",2016-05-24,32.212348,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskunmajsa","FID-FÉMTECH Korlátolt Felelősségű Társaság","A FID-FÉMTECH Kft. kapacitásbővítő beruházásának támogatása",2016-06-02,24.674286,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunmajsa","Arany Alapítvány","„Aranyos genera(K)ciók”",2017-02-08,24.999942,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskunmajsa","Nagyító - Középiskolások Iskolán Kívüli Képzése - Alapítvány","A teljesség felé",2017-02-08,25,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskunmajsa","MAJSA AUTÓ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Gyakornoki program a MAJSA AUTÓ Kft-nél.",2017-02-09,2.78334,"város","Bács-Kiskun","Kiskunmajsai","11216","van","HH",2017
"KEHOP-1.4.0-15","KEHOP","Árvízvédelmi fejlesztések","Kisköre","ORSZÁGOS VÍZÜGYI FŐIGAZGATÓSÁG","Nagyműtárgyak fejlesztése és rekonstrukciója",2016-02-25,10000,"város","Heves","Hevesi","2870","van","LHHK",2016
"KEHOP-1.3.0-15","KEHOP","Fenntartható vízgazdálkodás infrastrukturális feltételeinek javítása","Kisköre","ORSZÁGOS VÍZÜGYI FŐIGAZGATÓSÁG","Jászsági vízgazdálkodási rendszer rekonstrukciója I. ütem",2016-03-03,1650,"város","Heves","Hevesi","2870","van","LHHK",2016
"KEHOP-5.2.11-16","KEHOP","Fotovoltaikus rendszerek kialakítása központi költségvetési szervek részére","Kisköre","KÖZÉP-TISZA-VIDÉKI VÍZÜGYI IGAZGATÓSÁG","KÖTIVIZIG Kiskörei Szakaszmérnökség telephelyeinek energetikai fejlesztése",2016-12-19,126.61932,"város","Heves","Hevesi","2870","van","LHHK",2016
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskőrös","KURZ PLAST Művanyagfeldolgozó Korlátolt Felelősségű Társaság","Kapacitás bővítés a Kurz Plast Műanyagfeldolgozó Kft-nél",2015-07-23,22.7117,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskőrös","VARRIVÁL Gépgyártó,- Fejlesztő és Kereskedő Korlátolt Felelősségű Társaság","A VARRIVÁL Kft. termelési kapacitásának bővítése",2015-07-23,19.993325,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskőrös","AGRO LINE Gépgyártó,- Fejlesztő és Kereskedő Korlátolt Felelősségü Társaság","Kapacitásbővítés az AGRO LINE Kft.-nél",2015-12-21,245.062329,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskőrös","DRUK-KER Nyomdaipari Szolgáltató Korlátolt Felelősségű Társaság","A DRUK-KER Kft. termelési kapacitásainak bővítése",2015-12-21,244.85325,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Kiskőrös","""MASINA Gépgyártó"" Korlátolt Felelősségű Társaság","Masina Gépgyártó Kft fémmegmunkáló kapacitásának bővítése.",2015-12-22,347.740778,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskőrös","ALBA-GRAND Korlátolt Felelősségű Társaság","Utánfutógyártás fejlesztése az ALBA-GRAND Kft-nél",2016-01-18,22.5,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskőrös","VARRIVÁL Gépgyártó,- Fejlesztő és Kereskedő Korlátolt Felelősségű Társaság","Kapacitásbővítés a VARRIVÁL Kft.-nél",2016-01-18,29.492215,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskőrös","LAVATI KER Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság","Fémmegmunkáló tevékenység fejlesztése a LAVATI KER Zrt-nél",2016-01-19,13.61052,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskőrös","Csermák és Társa Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Kapacitás és technológiai fejlesztés a Csermák Társa Kft.-nél",2016-01-21,25.901436,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kiskőrös","KŐRÖS-MŰÉP Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a Kőrös-Műép Kft-nél",2016-01-21,49.27,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"EFOP-4.1.1-15","EFOP","Egyes egyházi oktatási infrastrukturális fejlesztések","Kiskőrös","Magyarországi Evangélikus Egyház","Oktatási infrastrukturális fejlesztések a Kiskőrösi Evangélikus Középiskolánál",2016-11-09,355.826297,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2016
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Kiskőrös","AN-DAT Pénzügyi Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság","Tárgyi eszköz beszerzése az An-dat Kft-nél a gyakornoki munkahelyek kialakításához",2017-01-05,3.332065,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskőrös","Főnix Kulturális és Ifjúsági Egyesület","Partnerség és együttműködés Kiskőrösön, a társadalmi szerepvállalás jegyében",2017-02-08,25,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2017
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Kiskőrös","Kiskőrös Városért Alapítvány","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével Kiskőrösön",2017-02-08,25,"város","Bács-Kiskun","Kiskőrösi","14109","van","HH",2017
"KEHOP-2.1.3-15","KEHOP","Felhívás az ammónium-ionnal érintett ivóvízminőség-javító projektek megvalósítására","Kislippó","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Kislippó település ivóvízminőség-javító programja",2016-06-22,161.79246,"község","Baranya","Siklósi","261","nincs","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kisláng","BACKERFIELD ÉLELMISZERKERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG","Kapacitás bővítés a Backerfield Kft.-nél",2016-03-24,6.7465,"község","Fejér","Enyingi","2425","van","HH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Kisláng","Kisláng Község Önkormányzata","Kisláng Község Önkormányzata ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6.999771,"község","Fejér","Enyingi","2425","van","HH",2016
"KEHOP-2.1.2-15","KEHOP","Felhívás egyes, derogációval érintett ivóvízminőség-javító projektek megvalósítására","Kisláng","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Kisláng település ivóvízminőség-javítása",2017-02-22,130,"község","Fejér","Enyingi","2425","van","HH",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kisléta","Központi Iroda Üzletviteli, Ügyviteli, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság","Környezetkímélő háztartási folyékony tisztítószer gyártása",2016-01-18,20.909744,"község","Szabolcs-Szatmár-Bereg","Nyírbátori","1890","nincs","LHHK",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Kisléta","K & K PENTA Group Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Betonelem-gyártó üzem gépeinek beszerzése",2016-03-25,38.15,"község","Szabolcs-Szatmár-Bereg","Nyírbátori","1890","nincs","LHHK",2016
