"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","DROIDX Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","DROIDX Kft. kapacitástermelő beruházása",2015-12-21,61.609205,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Ajka","Csaba Tool Szerszámkészítő Korlátolt Felelősségű Társaság","Eszközbeszerzés a Csaba Tool Kft-nél. ",2015-12-22,267.495236,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","Keresztes Zsolt  egyéni vállalkozó","Keresztes Zsolt egyéni vállalkozó kapacitásbővítő beruházásának támogatása",2016-01-14,9.715974,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","Solar Pro-Tech Korlátolt Felelősségű Társaság","Kapacitásbővítés a Solar Pro-Tech Kft-nél. ",2016-01-18,6.979392,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","PERFECT 3M Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Kapacitásbővítés a Perfect 3M Kft-nél",2016-01-19,8.18128,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","Badics Péter e.v.","Mitsubishi MV 2400S Tubular huzalszikra-forgácsoló gép beszerzése",2016-01-21,18.610379,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","L.Z. Form Ipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Technológiai korszerűsítés az L.Z. Form Kft-nél",2016-05-24,36.366097,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajka","""Stumpf és Társai"" Ipari és Kereskedelmi Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás a Stumpf és Társai Kft-nél",2016-05-24,6.420515,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Ajka","Kókai Tömítéstechnikai Korlátolt Felelősségű Társaság","Új típusú tárcsafék rendszer fém-gumi alkatrészeinek kifejlesztése a 2,5 tonnát meghaladó gépjárművek részére",2016-08-25,217.68485,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Ajka","Kristály-völgy Terület- és Vidékfejlesztési Egyesület","Védőháló az ajkai családokért",2016-12-22,38.7443,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Ajka","Molnár Gábor Műhely Alapítvány","Diákok, aktív nyugdíjasok és fogyatékossággal élő önkéntesek közös aktivitása a társadalmi integrációért, és a generációk együttműködéséért",2017-02-08,24.99817,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Ajka","Strausz Roland egyéni vállalkozó","Gyakornoki program keretében történő továbbfoglalkoztatás",2017-02-09,5.379,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Ajka","ILLÉS és TÁRSAI Villamos- és Építőipari Korlátolt Felelősségű Társaság","Gyakornokok foglalkoztatása az Illés és Társai Kft-nél.",2017-02-09,4.336765,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Ajka","Kiss Márta egyéni vállalkozó","Gyakornoki program megvalósítása ",2017-02-10,2.225168,"város","Veszprém","Ajkai","28284","van","nem_hatranyos_helyzetu",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Akasztó","AL-INOX Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Termelési kapacitás bővítése az AL-INOX Kft-nél",2015-06-04,44.839271,"község","Bács-Kiskun","Kiskőrösi","3348","nincs","HH",2015
"KEHOP-5.2.3-16","KEHOP","Egyházak épületenergetikai fejlesztései megújuló energiaforrás hasznosításának lehetőségével","Akasztó","Kalocsa-Kecskeméti Főegyházmegye","Kalocsa-Kecskeméti Főegyházmegye Épületeinek Energetikai Felújítása",2017-01-30,160,"község","Bács-Kiskun","Kiskőrösi","3348","nincs","HH",2017
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Alap","ALAP KÖZSÉG ÖNKORMÁNYZATA","ALAP KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"község","Fejér","Sárbogárdi","1885","nincs","HH",2016
"EFOP-3.3.1-15","EFOP","Tanoda programok támogatása","Alattyán"," „VÁRUNK” Alapítvány a hátrányos helyzetű felnőttek és gyermekek esélyegyenlőségéért","„VÁRUNK” Alapítvány – Tanoda programok az Alattyáni gyermekek sikeres jövőjéért",2016-09-27,29.99648,"község","Jász-Nagykun-Szolnok","Jászapáti","1950","van","HH",2016
